"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2011","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","33,551.907",""
"2012","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","33,255.706",""
"2013","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","30,411.154",""
"2014","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","30,046.652",""
"2015","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","30,729.764",""
"2016","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","30,619.215",""
"2017","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,367.025",""
"2018","Romania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,481.905",""
"2009","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,796.431",""
"2010","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","7,004.594",""
"2011","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","7,078.607",""
"2012","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,805.860",""
"2013","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,634.887",""
"2014","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,369.324",""
"2015","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,318.292",""
"2016","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,543.690",""
"2017","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,727.847",""
"2018","Slovenia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,674.567",""
"2009","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,520.354",""
"2010","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","16,658.471",""
"2011","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,969.082",""
"2012","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,585.988",""
"2013","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,689.009",""
"2014","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,828.983",""
"2015","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,218.519",""
"2016","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,367.823",""
"2017","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","16,148.890",""
"2018","Slovakia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,790.463",""
"2009","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,392.575",""
"2010","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","35,503.306",""
"2011","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","34,251.007",""
"2012","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","33,017.318",""
"2013","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,036.263",""
"2014","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,701.705",""
"2015","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","31,152.132",""
"2016","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,427.177",""
"2017","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,086.164",""
"2018","Finland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","32,987.446",""
"2009","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","43,325.554",""
"2010","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","48,591.905",""
"2011","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","47,622.456",""
"2012","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","47,590.048",""
"2013","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","46,440.871",""
"2014","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","46,031.942",""
"2015","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","44,317.804",""
"2016","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","45,413.965",""
"2017","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","46,445.846",""
"2018","Sweden","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","46,777.803",""
"2009","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","195,991.620",""
"2010","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","205,093.171",""
"2011","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","190,088.586",""
"2012","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","195,148.749",""
"2013","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","191,629.089",""
"2014","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","180,717.412",""
"2015","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","183,105.581",""
"2016","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","179,005.716",""
"2017","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","176,867.853",""
"2018","United Kingdom","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","176,265.357",""
"2009","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,488.309",""
"2010","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,526.173",""
"2011","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,922.010",""
"2012","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,793.699",""
"2013","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,054.708",""
"2014","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,052.759",""
"2015","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,803.322",""
"2016","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,586.507",""
"2017","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,983.761",""
"2018","Iceland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,530.291",""
"2009","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","29,548.074",""
"2010","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","30,774.031",""
"2011","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","26,268.933",""
"2012","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","26,574.861",""
"2013","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","30,777.735",""
"2014","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","26,471.697",""
"2015","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","27,003.075",""
"2016","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","26,067.443",""
"2017","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","27,296.233",""
"2018","Norway","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","25,937.385",""
"2009","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","929.012",""
"2010","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,089.037",""
"2011","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,093.026",""
"2012","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,039.801",""
"2013","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","970.143",""
"2014","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","946.365",""
"2015","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","991.285",""
"2016","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","950.601",""
"2017","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","991.633",""
"2018","Montenegro","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,039.910",""
"2009","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,783.700",""
"2010","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,846.827",""
"2011","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","3,054.193",""
"2012","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,947.350",""
"2013","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,729.071",""
"2014","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,657.152",""
"2015","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,593.801",""
"2016","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,556.728",""
"2017","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,669.880",""
"2018","North Macedonia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,521.690",""
"2009","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,012.966",""
"2010","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,042.075",""
"2011","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,197.285",""
"2012","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","1,985.479",""
"2013","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,204.559",""
"2014","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,262.950",""
"2015","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,118.322",""
"2016","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,169.255",""
"2017","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,330.360",""
"2018","Albania","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,332.955",""
"2009","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,619.952",""
"2010","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,800.514",""
"2011","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","15,483.048",""
"2012","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,276.574",""
"2013","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,382.018",""
"2014","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","12,832.845",""
"2015","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,207.452",""
"2016","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,583.232",""
"2017","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,892.925",""
"2018","Serbia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,785.652",""
"2009","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","92,969.372",""
"2010","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","98,255.066",""
"2011","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","106,647.199",""
"2012","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","110,585.239",""
"2013","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","106,683.638",""
"2014","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","116,643.925",""
"2015","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","125,321.183",""
"2016","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","131,523.487",""
"2017","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","145,482.037",""
"2018","Turkey","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","139,499.525",""
"2009","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2010","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2011","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2012","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2013","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2014","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","5,936.371",""
"2015","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,113.933",""
"2016","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,691.273",""
"2017","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","6,691.094",""
"2018","Bosnia and Herzegovina","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,448.885",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,509.736",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,489.749",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,344.565",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,269.536",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,183.568",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,476.057",""
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,662.465",""
"2017","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,528.306",""
"2018","Kosovo (under United Nations Security Council Resolution 1244/99)","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,541.290",""
"2009","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2010","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,517.936",""
"2011","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,565.802",""
"2012","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,498.418",""
"2013","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,526.932",""
"2014","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,549.115",""
"2015","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,571.152",""
"2016","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,671.658",""
"2017","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,814.482",""
"2018","Moldova","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,941.144",""
"2009","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","110,336.257",""
"2010","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","127,010.556",""
"2011","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","120,619.614",""
"2012","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","116,534.564",""
"2013","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","110,184.873",""
"2014","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","101,409.475",""
"2015","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","88,929.036",""
"2016","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","90,841.398",""
"2017","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","86,681.499",""
"2018","Ukraine","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2009","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2010","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2011","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2012","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)",":",""
"2013","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","3,708.187",""
"2014","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,163.069",""
"2015","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,371.064",""
"2016","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,560.209",""
"2017","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,575.851",""
"2018","Georgia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,585.088",""
